"('amazon cloudfront', 'bankserv')","[7, 190, 0, 0, 2, 0, 0, 2]"
"('amazon cloudfront', 'barksdale')","[2, 54, 0, 0, 2, 0, 0, 2]"
"('amazon cloudfront', 'barracuda networks')","[5, 174, 0, 0, 2, 0, 0, 2]"
"('amazon cloudfront', 'adc systems')","[5, 174, 0, 0, 2, 0, 0, 2]"
"('amazon cloudfront', 'baseline measurements')","[4, 136, 0, 0, 2, 0, 0, 2]"
"('amazon cloudfront', 'capacity planning')","[129, 3726, 0, 0, 58, 0, 0, -54]"
"('amazon cloudfront', 'architecture')","[87, -3572, 0, 0, 272, 2, 0, -268]"
"('amazon cloudfront', '(mds-cs)')","[-13, -512, 0, 0, 2, 0, 0, 2]"
"('amazon cloudfront', 'bias')","[56, 1826, 0, 0, 16, 0, 0, -12]"
"('amazon cloudfront', 'randy')","[1, 4, 0, 0, 2, 0, 0, 2]"
"('amazon cloudfront', 'bigblueball.com')","[-30, -1228, 0, 0, 6, 0, 0, -2]"
"('amazon cloudfront', 'instant messaging interoperability')","[-10, -408, 0, 0, 2, 0, 0, 2]"
"('amazon cloudfront', 'calculator')","[62, 1668, 0, 0, 26, 0, 0, -22]"
"('amazon cloudfront', 'billing')","[36, 710, 0, 0, 28, 4, 0, -24]"
"('amazon cloudfront', '(chap)')","[-3, -162, 0, 0, 2, 0, 0, 2]"
"('amazon cloudfront', 'blackberry enterprise server (bes)')","[-13, -512, 0, 0, 2, 0, 0, 2]"
"('amazon cloudfront', 'blackberry internet service (bis)')","[-13, -512, 0, 0, 2, 0, 0, 2]"
"('amazon cloudfront', 'blackberry push service')","[-34, -1822, 0, 0, 10, 0, 0, -6]"
"('amazon cloudfront', 'blackberry')","[-599, -24702, 0, 0, 108, 0, 0, -104]"
"('amazon cloudfront', 'video streaming')","[-121, -5170, 0, 0, 26, 0, 0, -22]"
"('amazon cloudfront', 'blogger')","[-23, -1354, 0, 0, 20, 0, 0, -16]"
"('amazon cloudfront', 'virtualization')","[430, 10770, 0, 0, 176, 0, 0, -172]"
"('amazon cloudfront', 'audio files')","[-20, -836, 0, 0, 4, 0, 0, 0]"
"('amazon cloudfront', 'security concerns')","[12, 328, 0, 0, 2, 0, 0, 2]"
"('amazon cloudfront', 'aws multi-factor authentication')","[1, -2, 0, 0, 2, 0, 0, 2]"
"('amazon cloudfront', 'enterprise service bus (esb)')","[-10, -484, 0, 0, 6, 0, 0, -2]"
"('amazon cloudfront', 'authentication services')","[7, 210, 0, 0, 2, 0, 0, 2]"
"('amazon cloudfront', 'idaas')","[144, 4156, 0, 0, 38, 0, 0, -34]"
"('amazon cloudfront', 'authorization')","[55, 818, 0, 0, 50, 0, 0, -46]"
"('amazon cloudfront', 'authorization markup languages')","[7, 198, 0, 0, 2, 0, 0, 2]"
"('amazon cloudfront', 'autobench')","[4, 124, 0, 0, 2, 0, 0, 2]"
"('amazon cloudfront', 'automated software updates')","[-14, -546, 0, 0, 2, 0, 0, 2]"
"('amazon cloudfront', 'autonomic systems')","[12, 328, 0, 0, 2, 0, 0, 2]"
"('amazon cloudfront', 'aws import/export')","[1, 2, 0, 0, 2, 0, 0, 2]"
"('amazon cloudfront', 'aws premium support')","[2, -4, 0, 0, 4, 0, 0, 0]"
"('amazon cloudfront', 'aws security center')","[-6, -272, 0, 0, 4, 0, 0, 0]"
"('amazon cloudfront', 'aws simple monthly calculator')","[2, -42, 0, 0, 4, 0, 0, 0]"
"('amazon cloudfront', 'azure appfabric')","[-2, -792, 0, 0, 22, 0, 0, -18]"
"('amazon cloudfront', 'azure content delivery network (cdn)')","[0, -66, 0, 0, 2, 0, 0, 2]"
"('amazon cloudfront', 'azure dynamic crm')","[1, -44, 0, 0, 2, 0, 0, 2]"
"('amazon cloudfront', 'azure tco calculator')","[9, 290, 0, 0, 2, 0, 0, 2]"
"('amazon cloudfront', 'paas model')","[33, 966, 0, 0, 14, 0, 0, -10]"
"('amazon cloudfront', 'software as a service (saas) model')","[24, 766, 0, 0, 6, 0, 0, -2]"
"('amazon cloudfront', 'azure storage service')","[-6, -288, 0, 0, 4, 0, 0, 0]"
"('amazon cloudfront', 'windows azure platform')","[140, 788, 0, 0, 140, 0, 0, -136]"
"('amazon cloudfront', 'network')","[-95, -26940, 0, 0, 820, 0, 0, -816]"
"('amazon cloudfront', 'backendbattles.com')","[2, 42, 0, 0, 2, 0, 0, 2]"
"('amazon cloudfront', 'time management')","[-10, -442, 0, 0, 4, 0, 0, 0]"
"('amazon cloudfront', 'planner')","[25, 388, 0, 0, 28, 0, 0, -24]"
"('amazon cloudfront', 'instance types')","[9, 222, 0, 0, 6, 0, 0, -2]"
"('amazon cloudfront', 'lamp performance monitoring tools')","[4, 126, 0, 0, 2, 0, 0, 2]"
"('amazon cloudfront', 'lamp solution stack')","[4, 136, 0, 0, 2, 0, 0, 2]"
"('amazon cloudfront', 'load testing')","[24, 738, 0, 0, 12, 0, 0, -8]"
"('amazon cloudfront', 'resource ceilings')","[12, 362, 0, 0, 6, 0, 0, -2]"
"('amazon cloudfront', 'server types')","[8, 236, 0, 0, 4, 0, 0, 0]"
"('amazon cloudfront', 'system metrics')","[8, 254, 0, 0, 4, 0, 0, 0]"
"('amazon cloudfront', 'capital expenditures')","[48, 1494, 0, 0, 10, 0, 0, -6]"
"('amazon cloudfront', 'carbonite')","[-16, -836, 0, 0, 12, 0, 0, -8]"
"('amazon cloudfront', 'point-in-time (pit) backups')","[-7, -286, 0, 0, 2, 0, 0, 2]"
"('amazon cloudfront', 'cardspace')","[60, 1648, 0, 0, 20, 0, 0, -16]"
"('amazon cloudfront', 'cassatt')","[-2, -124, 0, 0, 2, 0, 0, 2]"
"('amazon cloudfront', 'soa 2.0')","[-20, -750, 0, 0, 8, 0, 0, -4]"
"('amazon cloudfront', 'catalog service')","[-20, -790, 0, 0, 8, 0, 0, -4]"
"('amazon cloudfront', 'soa')","[-554, -26300, 0, 0, 400, 0, 0, -396]"
"('amazon cloudfront', '(adn)')","[5, 172, 0, 0, 2, 0, 0, 2]"
"('amazon cloudfront', 'feature phones')","[-259, -9994, 0, 0, 40, 0, 0, -36]"
"('amazon cloudfront', 'short message service (sms)')","[-14, -552, 0, 0, 2, 0, 0, 2]"
"('amazon cloudfront', 'windows live for mobile')","[1, -210, 0, 0, 6, 0, 0, -2]"
"('amazon cloudfront', 'certeon')","[5, 150, 0, 0, 2, 0, 0, 2]"
"('amazon cloudfront', 'optimization appliances')","[5, 150, 0, 0, 2, 0, 0, 2]"
"('amazon cloudfront', 'authentication')","[-2, -2970, 0, 0, 120, 0, 0, -116]"
"('amazon cloudfront', 'challenges')","[9, 128, 0, 0, 10, 0, 0, -6]"
"('amazon cloudfront', 'cloud computing obstacles')","[9, 308, 0, 0, 2, 0, 0, 2]"
"('amazon cloudfront', 'chat')","[-165, -7246, 0, 0, 50, 0, 0, -46]"
"('amazon cloudfront', 'zoho office suite')","[-18, -932, 0, 0, 12, 0, 0, -8]"
"('amazon cloudfront', 'chats')","[-21, -872, 0, 0, 4, 0, 0, 0]"
"('amazon cloudfront', 'skype support')","[-11, -454, 0, 0, 2, 0, 0, 2]"
"('amazon cloudfront', 'chromium os')","[16, 486, 0, 0, 4, 0, 0, 0]"
"('amazon cloudfront', 'circular topology')","[-10, -428, 0, 0, 4, 0, 0, 0]"
"('amazon cloudfront', 'cisco jabber xcp')","[-10, -406, 0, 0, 2, 0, 0, 2]"
"('amazon cloudfront', 'cisco systems')","[5, 174, 0, 0, 2, 0, 0, 2]"
"('amazon cloudfront', 'cisco')","[-5, -296, 0, 0, 8, 0, 0, -4]"
"('amazon cloudfront', 'citrix gotomeeting')","[-10, -416, 0, 0, 2, 0, 0, 2]"
"('amazon cloudfront', 'bloglines')","[-9, -388, 0, 0, 2, 0, 0, 2]"
"('amazon cloudfront', 'newsreader')","[-44, -1908, 0, 0, 10, 0, 0, -6]"
"('amazon cloudfront', 'blogs')","[-91, -4328, 0, 0, 42, 0, 0, -38]"
"('amazon cloudfront', 'bloomberg messaging')","[-10, -410, 0, 0, 2, 0, 0, 2]"
"('amazon cloudfront', 'blue coat systems')","[5, 172, 0, 0, 2, 0, 0, 2]"
"('amazon cloudfront', 'bmc cloud computing')","[-2, -100, 0, 0, 2, 0, 0, 2]"
"('amazon cloudfront', 'bmc proactivenet performance management')","[-1, -98, 0, 0, 2, 0, 0, 2]"
"('amazon cloudfront', 'bondi api')","[-14, -532, 0, 0, 2, 0, 0, 2]"
"('amazon cloudfront', 'break.com')","[-11, -460, 0, 0, 2, 0, 0, 2]"
"('amazon cloudfront', 'broad network')","[33, 686, 0, 0, 4, 0, 0, 0]"
"('amazon cloudfront', 'broadband')","[-105, -4312, 0, 0, 28, 0, 0, -24]"
"('amazon cloudfront', 'brocade communication systems')","[5, 174, 0, 0, 2, 0, 0, 2]"
"('amazon cloudfront', 'proxy/broker service')","[-3, -150, 0, 0, 2, 0, 0, 2]"
"('amazon cloudfront', 'portal')","[10, -1400, 0, 0, 56, 0, 0, -52]"
"('amazon cloudfront', 'buddies')","[-20, -854, 0, 0, 4, 0, 0, 0]"
"('amazon cloudfront', 'builtwith.com')","[4, 84, 0, 0, 4, 0, 0, 0]"
"('amazon cloudfront', 'burton group')","[14, 416, 0, 0, 4, 0, 0, 0]"
"('amazon cloudfront', 'business explorer for web services')","[-14, -536, 0, 0, 2, 0, 0, 2]"
"('amazon cloudfront', 'business objects build')","[3, 82, 0, 0, 2, 0, 0, 2]"
"('amazon cloudfront', 'business process designer')","[3, 82, 0, 0, 2, 0, 0, 2]"
"('amazon cloudfront', '(ws-bpel)')","[-20, -770, 0, 0, 8, 0, 0, -4]"
"('amazon cloudfront', 'buzzword')","[-48, -1922, 0, 0, 12, 0, 0, -8]"
"('amazon cloudfront', 'bycast')","[-21, -832, 0, 0, 6, 0, 0, -2]"
"('amazon cloudfront', 'storagegrid')","[-42, -1660, 0, 0, 12, 0, 0, -8]"
"('amazon cloudfront', 'ca cloud compose')","[-4, -232, 0, 0, 4, 0, 0, 0]"
"('amazon cloudfront', 'cloud metrics measurement service')","[-2, -122, 0, 0, 2, 0, 0, 2]"
"('amazon cloudfront', 'service measurement index (smi)')","[-3, -222, 0, 0, 4, 0, 0, 0]"
"('amazon cloudfront', 'ca cloud optimize')","[-4, -232, 0, 0, 4, 0, 0, 0]"
"('amazon cloudfront', 'ca cloud orchestrate')","[-2, -122, 0, 0, 2, 0, 0, 2]"
"('amazon cloudfront', 'cloudsensor')","[-6, -380, 0, 0, 6, 0, 0, -2]"
"('amazon cloudfront', 'distributed network performance metrics')","[-2, -122, 0, 0, 2, 0, 0, 2]"
"('amazon cloudfront', 'ca wily soa solution')","[-5, -220, 0, 0, 2, 0, 0, 2]"
"('amazon cloudfront', 'calc')","[123, 3224, 0, 0, 56, 0, 0, -52]"
"('amazon cloudfront', 'thinkfree office')","[-16, -684, 0, 0, 4, 0, 0, 0]"
"('amazon cloudfront', 'calendar application')","[-13, -506, 0, 0, 2, 0, 0, 2]"
"('amazon cloudfront', 'backup types')","[-7, -284, 0, 0, 2, 0, 0, 2]"
"('amazon cloudfront', 'characteristics')","[146, 1416, 0, 0, 98, 0, 0, -94]"
"('amazon cloudfront', 'cloud data management interface (cdmi)')","[-21, -880, 0, 0, 6, 0, 0, -2]"
"('amazon cloudfront', 'interoperability')","[-142, -8076, 0, 0, 88, 0, 0, -84]"
"('amazon cloudfront', 'managed storage')","[-80, -3310, 0, 0, 24, 0, 0, -20]"
"('amazon cloudfront', 'open cloud computing interface (occi)')","[-13, -562, 0, 0, 4, 0, 0, 0]"
"('amazon cloudfront', 'out-of-band management systems')","[-7, -304, 0, 0, 2, 0, 0, 2]"
"('amazon cloudfront', 'unmanaged storage')","[-41, -1632, 0, 0, 12, 0, 0, -8]"
"('amazon cloudfront', 'cloudfront')","[10, -928, 0, -14, 44, 8, 2, -40]"
"('amazon cloudfront', 'edge computing')","[1, -32, 0, 0, 2, 0, 0, 2]"
"('amazon cloudfront', 'cloudkick')","[-14, -804, 0, 0, 14, 0, 0, -10]"
"('amazon cloudfront', 'infrastructure monitoring')","[-4, -216, 0, 0, 4, 0, 0, 0]"
"('amazon cloudfront', 'cloudscaling.com')","[8, 236, 0, 0, 4, 0, 0, 0]"
"('amazon cloudfront', 'codes of conduct')","[7, 208, 0, 0, 2, 0, 0, 2]"
"('amazon cloudfront', 'collaboration')","[-154, -9220, 0, 0, 116, 0, 0, -112]"
"('amazon cloudfront', 'dimdim')","[-20, -836, 0, 0, 4, 0, 0, 0]"
